"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WSF2","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-06","3.58","0.00","0.0",,"61","49",,"  210","8.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-07","6.71","0.13","0.0",,"64","44",,"  310","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-08","8.72","0.00","0.0",,"50","40",,"  290","16.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-09","4.92","0.00","0.0",,"50","38",,"  250","13.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-10","7.61","0.00","0.0",,"61","44",,"  280","18.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-11","6.49","0.00","0.0",,"53","43",,"  290","16.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-12","6.26","0.03","0.0",,"52","31",,"  340","16.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-13","6.04","0.00","0.0",,"39","29",,"  290","14.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-14","8.05","0.00","0.0",,"52","33",,"  250","17.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-15","4.70","0.00","0.0",,"57","44",,"  250","13.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-16","2.68","0.05","0.0",,"60","45",,"  250","12.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-17","3.58","0.03","0.0",,"60","51",,"  170","10.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11-18","7.38","0.22","0.0",,"65","51",,"  280","19.9","    1",,,,,,
