
time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),shortwave_radiation_sum (MJ/m²)
2021-02-14,3,1.3,-2.7,0.00,12.0,22.0,5.16
2021-02-15,3,0.5,-1.4,0.00,13.3,22.7,2.29
2021-02-16,63,6.9,-0.7,18.20,21.7,56.5,8.88
2021-02-17,3,-0.6,-7.8,0.00,19.6,36.7,13.84
2021-02-18,75,-2.2,-6.6,9.50,16.6,32.0,3.23
2021-02-19,73,-0.1,-3.1,7.70,14.8,29.2,3.20
2021-02-20,3,0.5,-6.0,0.00,16.6,33.1,12.33
2021-02-21,1,1.3,-10.0,0.00,13.0,24.8,16.88
2021-02-22,75,2.3,-7.3,12.60,17.6,33.1,4.20
2021-02-23,51,5.6,-2.6,0.40,18.5,34.6,9.18
2021-02-24,2,8.4,-2.4,0.00,19.4,38.2,16.05
2021-02-25,2,6.9,-3.3,0.00,22.4,43.6,17.23
2021-02-26,3,5.7,-4.0,0.00,12.6,22.3,16.73
2021-02-27,71,8.4,0.2,7.30,16.3,32.8,2.91
2021-02-28,61,4.9,-0.2,6.10,14.0,27.4,4.85
2021-03-01,61,7.3,0.6,6.20,26.7,55.4,4.19
2021-03-02,2,0.1,-7.3,0.00,32.6,61.2,18.38
2021-03-03,1,8.8,-4.6,0.00,15.3,32.0,17.73
2021-03-04,3,4.6,-3.3,0.00,26.8,50.0,12.58
2021-03-05,0,1.7,-5.5,0.00,26.1,52.2,19.00
2021-03-06,3,1.9,-4.6,0.00,20.1,36.7,14.18
2021-03-07,3,3.8,-5.0,0.00,13.4,27.7,18.68
2021-03-08,1,5.1,-5.3,0.00,13.0,24.1,19.48
2021-03-09,51,16.2,-2.2,0.10,15.3,33.8,18.18
2021-03-10,1,11.1,-2.1,0.00,13.8,28.1,18.91
2021-03-11,51,19.6,2.1,0.40,15.3,28.4,17.71
2021-03-12,61,18.2,9.7,2.10,19.8,38.9,18.01
2021-03-13,0,8.8,-0.5,0.00,28.3,52.6,20.23
2021-03-14,2,10.0,-1.0,0.00,31.2,57.2,17.74
2021-03-15,1,2.8,-4.0,0.00,24.3,50.0,21.03
2021-03-16,73,1.8,-3.5,0.90,10.8,21.6,8.61
2021-03-17,51,8.5,1.2,0.10,8.5,16.2,10.75
2021-03-18,63,6.6,4.2,20.40,22.9,44.6,1.77
2021-03-19,55,5.9,-0.9,3.40,28.3,52.6,21.37
2021-03-20,0,12.9,-3.4,0.00,9.9,20.5,21.66
2021-03-21,0,14.4,-1.6,0.00,8.8,16.6,21.79
2021-03-22,0,13.4,-0.3,0.00,11.2,19.8,21.88
2021-03-23,1,16.3,0.4,0.00,10.6,20.5,20.89
2021-03-24,63,12.2,3.4,24.50,14.5,28.1,5.56
2021-03-25,63,19.2,9.4,5.70,10.1,24.1,12.06
2021-03-26,53,25.1,10.8,0.80,32.8,60.8,13.14
2021-03-27,3,18.7,6.8,0.00,20.5,39.2,19.20
2021-03-28,63,17.0,8.3,18.00,23.1,60.1,2.96
2021-03-29,3,11.6,5.0,0.00,31.9,62.3,23.14
2021-03-30,1,14.4,2.1,0.00,18.7,34.2,23.14
2021-03-31,61,17.0,6.4,8.20,17.6,32.4,9.53
2021-04-01,61,11.0,3.2,6.00,26.0,49.7,11.65
2021-04-02,3,4.3,-1.5,0.00,22.4,42.1,19.08
2021-04-03,0,10.3,-2.4,0.00,14.1,31.3,24.60
2021-04-04,2,16.3,3.3,0.00,17.9,29.2,21.44
2021-04-05,1,18.5,5.2,0.00,21.5,40.0,24.38
2021-04-06,0,18.3,3.9,0.00,16.4,32.0,24.99
2021-04-07,51,18.8,4.5,0.40,11.7,22.0,17.83
2021-04-08,1,18.6,6.4,0.00,12.1,23.8,23.26
2021-04-09,3,14.5,5.5,0.00,11.5,24.1,17.31
2021-04-10,51,18.1,8.8,0.20,12.6,23.8,9.09
2021-04-11,61,12.4,8.0,22.90,21.6,42.5,2.36
2021-04-12,53,9.0,6.4,9.10,18.2,34.9,3.84
2021-04-13,53,16.6,5.5,2.40,10.8,26.6,18.51
2021-04-14,3,19.9,5.4,0.00,13.2,24.8,19.20
2021-04-15,61,12.4,8.3,7.50,16.4,26.6,3.66
2021-04-16,53,11.6,4.7,2.70,21.5,47.9,19.14
2021-04-17,3,12.1,5.1,0.00,14.1,26.6,13.17
2021-04-18,51,15.8,4.6,0.10,12.5,27.4,20.49
2021-04-19,51,17.7,7.1,0.20,11.8,23.4,21.25
2021-04-20,1,21.5,6.7,0.00,20.7,46.1,25.27
2021-04-21,61,19.6,4.6,5.10,27.0,49.7,18.50
2021-04-22,3,8.6,1.6,0.00,30.0,59.8,17.96
2021-04-23,1,15.5,2.4,0.00,25.7,52.2,26.45
2021-04-24,3,19.3,5.5,0.00,14.3,27.0,24.80
2021-04-25,63,16.3,8.4,15.70,15.3,41.8,10.74
2021-04-26,0,14.1,4.4,0.00,24.5,46.8,28.08
2021-04-27,2,16.0,5.0,0.00,11.7,25.2,23.84
2021-04-28,2,26.9,8.1,0.00,11.2,25.2,23.44
2021-04-29,55,22.3,14.3,4.00,21.1,52.2,9.00
2021-04-30,53,18.8,7.9,1.70,32.9,65.9,21.97
2021-05-01,3,16.9,5.1,0.00,29.4,58.3,28.30
2021-05-02,2,26.2,10.3,0.00,20.0,37.4,25.33
2021-05-03,61,16.1,11.7,10.40,12.7,38.2,8.24
2021-05-04,61,20.5,11.1,8.90,15.2,41.4,12.31
2021-05-05,63,15.1,10.8,10.90,20.1,38.2,5.02
2021-05-06,2,17.5,8.8,0.00,19.1,39.2,28.21
2021-05-07,3,16.7,7.2,0.00,13.8,28.4,25.20
2021-05-08,53,11.6,7.1,2.10,13.2,23.0,10.53
2021-05-09,61,16.1,5.8,7.10,17.1,33.1,19.13
2021-05-10,55,14.8,8.4,3.40,16.3,70.2,11.96
2021-05-11,3,16.4,8.1,0.00,22.1,45.7,24.22
2021-05-12,1,17.8,6.1,0.00,15.9,34.9,28.46
2021-05-13,1,18.9,6.7,0.00,12.5,23.0,28.54
2021-05-14,1,21.5,7.4,0.00,12.3,18.0,28.33
2021-05-15,1,22.4,9.3,0.00,10.2,17.6,27.38
2021-05-16,51,22.3,9.9,0.40,11.2,21.6,22.94
2021-05-17,1,23.0,10.1,0.00,11.5,17.6,27.85
2021-05-18,1,25.6,11.4,0.00,13.2,26.3,26.87
2021-05-19,1,28.1,12.9,0.00,13.5,19.4,28.97
2021-05-20,1,22.5,12.8,0.00,14.2,27.4,28.83
2021-05-21,1,26.1,12.1,0.00,12.6,23.0,28.55
2021-05-22,2,30.3,16.9,0.00,13.7,25.6,18.80
2021-05-23,3,30.4,19.2,0.00,20.9,39.2,21.73
2021-05-24,3,20.3,13.5,0.00,20.7,38.5,19.14
2021-05-25,3,23.3,13.3,0.00,14.3,29.2,19.84
2021-05-26,61,30.7,16.8,2.30,16.8,33.8,24.43
2021-05-27,3,27.2,18.7,0.00,16.5,31.3,29.49
2021-05-28,63,18.9,10.7,25.90,25.2,49.3,16.92
2021-05-29,63,10.4,9.0,24.60,29.0,58.3,2.67
2021-05-30,61,10.3,8.8,13.50,21.4,41.0,2.55
2021-05-31,51,19.9,9.6,0.10,15.0,29.2,14.11
2021-06-01,2,23.8,9.8,0.00,10.7,20.9,24.04
2021-06-02,2,22.7,13.3,0.00,14.4,26.3,22.74
2021-06-03,63,23.4,13.3,7.40,9.8,29.9,9.73
2021-06-04,61,25.3,18.4,6.40,15.5,28.8,15.11
2021-06-05,1,31.0,16.7,0.00,15.6,28.8,27.54
2021-06-06,1,31.2,19.8,0.00,13.8,24.8,26.21
2021-06-07,61,30.6,20.7,2.10,12.0,27.0,25.97
2021-06-08,63,29.1,21.3,6.90,10.5,23.0,16.88
2021-06-09,55,31.0,21.0,2.50,8.4,20.5,24.22
2021-06-10,2,25.8,16.9,0.00,16.6,32.4,27.39
2021-06-11,61,20.0,15.7,2.90,12.9,29.5,15.47
2021-06-12,51,20.3,16.0,0.20,11.2,22.0,11.65
2021-06-13,3,23.7,14.5,0.00,12.6,25.9,17.83
2021-06-14,61,22.2,17.3,8.50,17.4,37.1,13.76
2021-06-15,63,25.1,17.7,11.80,17.2,31.7,22.62
2021-06-16,0,23.5,15.6,0.00,16.1,32.0,30.29
2021-06-17,1,23.6,12.0,0.00,11.4,27.4,30.98
2021-06-18,2,27.2,13.2,0.00,16.3,28.4,27.48
2021-06-19,51,31.3,19.7,0.80,16.8,32.0,22.87
2021-06-20,51,29.3,17.0,0.20,13.4,27.7,25.59
2021-06-21,3,28.8,21.1,0.00,16.3,30.2,18.91
2021-06-22,63,24.7,15.9,13.80,24.3,42.5,8.16
2021-06-23,2,22.5,13.0,0.00,14.8,29.5,27.48
2021-06-24,2,23.2,14.2,0.00,14.5,29.2,29.59
2021-06-25,2,25.8,14.9,0.00,14.2,29.9,28.18
2021-06-26,53,27.5,19.2,0.90,19.4,42.8,18.70
2021-06-27,3,30.1,21.8,0.00,16.6,38.2,19.78
2021-06-28,63,32.9,22.6,3.50,14.7,31.3,25.28
2021-06-29,53,34.2,23.8,1.10,14.6,28.8,25.56
2021-06-30,51,34.6,24.2,0.10,15.6,31.3,26.56
2021-07-01,63,30.0,21.6,15.40,9.4,36.0,15.91
2021-07-02,63,24.7,18.9,27.00,15.3,28.1,13.52
2021-07-03,63,19.1,16.8,31.90,20.1,34.9,5.39
2021-07-04,51,24.4,16.1,0.50,9.0,22.7,21.64
2021-07-05,51,27.4,18.4,0.20,16.0,28.4,23.74
2021-07-06,55,33.0,21.9,3.00,19.5,43.6,26.09
2021-07-07,53,32.5,21.8,0.50,12.1,27.7,26.97
2021-07-08,63,29.3,22.4,13.40,10.5,39.2,18.08
2021-07-09,63,29.0,21.6,15.50,25.6,52.2,18.45
2021-07-10,51,26.1,21.1,0.10,14.4,29.5,21.93
2021-07-11,53,24.7,20.3,0.50,13.6,26.6,9.01
2021-07-12,63,29.1,22.3,14.30,13.7,25.2,15.90
2021-07-13,51,24.6,20.7,0.30,13.0,24.8,8.57
2021-07-14,61,29.8,21.4,2.70,13.7,31.7,20.98
2021-07-15,1,30.0,21.9,0.00,10.6,20.2,24.33
2021-07-16,1,31.7,23.3,0.00,12.1,24.5,24.12
2021-07-17,63,30.8,23.2,15.70,14.2,32.0,23.45
2021-07-18,61,28.2,22.5,6.00,17.1,35.6,22.14
2021-07-19,51,26.7,21.6,0.50,12.3,31.0,18.65
2021-07-20,51,29.7,20.8,0.30,9.4,20.9,25.74
2021-07-21,53,26.9,21.4,2.60,15.9,31.7,22.58
2021-07-22,2,26.4,18.4,0.00,13.2,25.9,22.88
2021-07-23,51,25.7,17.5,0.20,12.7,26.3,24.50
2021-07-24,2,26.9,17.2,0.00,14.0,29.5,24.40
2021-07-25,53,28.5,21.1,1.80,19.6,41.0,14.52
2021-07-26,3,31.4,21.3,0.00,9.5,17.3,23.47
2021-07-27,2,31.5,20.9,0.00,11.4,21.6,24.35
2021-07-28,2,26.9,20.3,0.00,12.5,27.7,25.46
2021-07-29,63,25.9,19.5,12.40,18.1,42.1,13.54
2021-07-30,1,27.5,19.2,0.00,21.4,40.7,23.86
2021-07-31,3,25.7,14.2,0.00,15.0,28.1,26.73
2021-08-01,51,24.6,17.9,0.20,14.1,28.4,18.33
2021-08-02,1,26.2,16.3,0.00,17.4,37.4,20.41
2021-08-03,2,25.5,16.3,0.00,11.6,18.7,17.72
2021-08-04,51,23.8,18.3,0.10,9.5,23.0,11.94
2021-08-05,3,25.1,18.1,0.00,11.9,28.1,12.84
2021-08-06,1,29.9,17.6,0.00,12.7,24.8,23.28
2021-08-07,3,29.5,20.3,0.00,15.9,32.4,15.80
2021-08-08,53,25.7,19.5,1.40,14.3,23.0,15.42
2021-08-09,51,26.1,20.7,0.60,14.8,28.8,13.49
2021-08-10,53,28.3,20.6,3.60,12.8,28.4,13.30
2021-08-11,53,32.1,22.9,1.10,13.4,37.1,19.36
2021-08-12,2,34.3,22.8,0.00,18.4,40.3,24.66
2021-08-13,53,34.9,24.9,0.60,11.5,22.3,24.62
2021-08-14,63,33.1,24.4,3.30,16.1,38.9,20.13
2021-08-15,2,27.5,20.4,0.00,14.3,29.2,24.80
2021-08-16,51,27.5,20.1,0.30,10.6,29.5,19.63
2021-08-17,61,26.1,21.1,7.80,14.5,28.8,10.02
2021-08-18,53,26.8,21.7,2.70,18.2,34.2,10.14
2021-08-19,61,29.2,23.4,9.30,21.8,39.6,14.05
2021-08-20,51,26.2,22.0,1.10,11.3,20.5,8.00
2021-08-21,53,27.9,21.9,2.60,12.5,24.5,15.51
2021-08-22,63,24.2,21.6,75.70,18.1,42.1,4.90
2021-08-23,63,27.5,21.5,37.20,20.8,43.9,9.40
2021-08-24,0,30.9,21.5,0.00,11.6,23.8,23.41
2021-08-25,1,31.1,19.9,0.00,7.7,16.2,22.34
2021-08-26,51,31.5,22.3,0.40,9.8,21.6,21.09
2021-08-27,61,32.4,23.3,6.20,7.1,19.8,21.38
2021-08-28,63,24.0,21.3,21.30,19.0,36.7,7.60
2021-08-29,3,24.2,20.5,0.00,10.6,27.0,5.76
2021-08-30,63,28.7,21.8,3.10,12.3,32.8,13.76
2021-08-31,3,27.9,21.1,0.00,12.3,23.4,15.22
2021-09-01,65,23.4,20.4,38.10,29.7,68.8,4.51
2021-09-02,65,23.8,15.7,31.30,30.8,70.9,21.65
2021-09-03,3,21.9,14.4,0.00,13.1,29.5,16.10
2021-09-04,1,24.2,14.9,0.00,10.7,21.2,22.44
2021-09-05,51,22.6,16.9,0.30,15.3,29.2,5.80
2021-09-06,3,26.6,19.6,0.00,17.6,31.7,20.39
2021-09-07,1,25.6,15.8,0.00,11.0,23.8,21.94
2021-09-08,53,26.5,18.9,0.50,22.7,49.3,17.73
2021-09-09,63,21.9,19.5,18.00,13.2,31.0,4.27
2021-09-10,3,22.8,16.4,0.00,20.7,40.7,21.74
2021-09-11,3,24.1,14.2,0.00,14.4,29.9,18.54
2021-09-12,3,27.8,17.9,0.00,19.5,37.8,18.75
2021-09-13,3,28.4,21.0,0.00,17.3,31.3,17.47
2021-09-14,2,25.3,18.8,0.00,12.4,24.8,16.41
2021-09-15,55,29.2,20.9,1.30,18.6,33.1,17.64
2021-09-16,51,23.1,19.1,1.20,17.4,33.1,10.45
2021-09-17,51,24.0,20.3,0.50,17.4,33.8,6.87
2021-09-18,51,26.6,19.7,0.60,12.5,20.5,10.81
2021-09-19,0,23.2,17.5,0.00,15.2,32.8,20.60
2021-09-20,3,22.7,16.7,0.00,14.5,28.4,15.69
2021-09-21,3,23.5,15.4,0.00,11.3,22.7,14.29
2021-09-22,51,25.4,20.0,0.20,22.2,43.2,12.55
2021-09-23,61,26.0,21.2,13.90,27.2,63.7,13.08
2021-09-24,63,22.1,15.1,21.40,12.2,37.1,15.31
2021-09-25,1,22.7,13.0,0.00,6.6,18.0,19.21
2021-09-26,1,21.3,15.3,0.00,20.1,40.0,18.81
2021-09-27,1,25.1,14.4,0.00,20.9,38.5,18.49
2021-09-28,63,24.6,16.6,4.10,15.6,31.7,13.01
2021-09-29,3,19.3,12.3,0.00,16.7,32.4,15.51
2021-09-30,3,17.7,13.0,0.00,13.7,30.2,12.63
2021-10-01,1,18.9,9.3,0.00,10.7,22.0,18.15
2021-10-02,1,23.0,10.3,0.00,14.3,28.4,17.73
2021-10-03,2,25.0,12.6,0.00,8.3,20.2,15.88
2021-10-04,61,22.7,17.1,10.60,15.5,29.2,4.77
2021-10-05,3,18.2,15.4,0.00,13.4,28.8,4.53
2021-10-06,3,20.4,15.9,0.00,6.3,14.0,8.12
2021-10-07,51,22.1,16.1,0.10,7.2,15.1,7.93
2021-10-08,3,23.6,14.7,0.00,12.3,20.9,12.92
2021-10-09,51,19.9,15.9,0.40,20.6,39.2,8.67
2021-10-10,55,18.5,16.5,2.30,20.1,37.8,3.47
2021-10-11,3,20.6,16.0,0.00,21.0,43.2,9.24
2021-10-12,3,20.7,15.4,0.00,11.2,20.9,9.63
2021-10-13,3,21.5,15.7,0.00,7.1,15.1,6.78
2021-10-14,2,24.1,16.2,0.00,12.6,24.5,12.65
2021-10-15,3,25.4,15.3,0.00,10.7,18.7,14.02
2021-10-16,63,24.5,15.6,10.00,23.8,45.0,12.44
2021-10-17,53,16.7,11.8,0.90,18.6,40.3,13.29
2021-10-18,1,15.2,9.5,0.00,25.7,52.2,13.51
2021-10-19,0,18.6,8.0,0.00,20.0,38.2,15.04
2021-10-20,1,23.6,12.6,0.00,17.6,33.8,14.43
2021-10-21,1,23.1,11.3,0.00,13.5,25.6,14.19
2021-10-22,3,19.6,15.1,0.00,16.0,29.9,9.68
2021-10-23,51,14.8,11.4,0.60,10.9,20.9,7.25
2021-10-24,3,14.7,7.0,0.00,11.3,22.3,10.48
2021-10-25,55,22.8,13.8,3.50,13.4,31.7,7.84
2021-10-26,65,17.1,13.7,102.00,22.4,65.2,1.65
2021-10-27,61,15.5,12.1,6.10,30.2,59.0,7.96
2021-10-28,3,14.3,8.2,0.00,13.0,27.7,12.66
2021-10-29,61,13.5,10.1,6.80,32.7,68.4,4.35
2021-10-30,55,18.5,12.6,5.80,30.6,56.5,8.86
2021-10-31,55,17.1,11.8,5.80,15.8,34.9,8.95
2021-11-01,3,14.5,8.3,0.00,17.1,36.0,12.87
2021-11-02,3,11.8,6.8,0.00,15.3,29.2,6.69
2021-11-03,1,10.6,3.2,0.00,14.0,29.2,12.32
2021-11-04,2,9.7,1.7,0.00,9.3,20.5,11.24
2021-11-05,0,10.3,2.6,0.00,13.7,27.0,12.67
2021-11-06,0,10.6,1.9,0.00,10.3,22.3,12.50
2021-11-07,2,11.8,2.1,0.00,9.1,20.9,11.67
2021-11-08,1,16.4,5.6,0.00,14.6,28.1,11.78
2021-11-09,2,18.8,4.9,0.00,10.4,19.8,11.41
2021-11-10,3,17.6,6.3,0.00,15.9,30.6,11.40
2021-11-11,3,15.0,4.1,0.00,20.2,35.6,10.30
2021-11-12,63,16.3,7.6,18.50,28.5,71.6,1.88
2021-11-13,63,16.2,4.8,5.40,32.1,69.1,8.95
2021-11-14,51,8.5,2.6,0.20,17.1,32.4,8.29
2021-11-15,51,8.7,1.6,0.50,23.8,47.9,7.37
2021-11-16,3,9.0,1.6,0.00,18.4,35.3,9.89
2021-11-17,2,12.5,1.2,0.00,13.9,26.3,9.44
2021-11-18,55,18.7,8.3,1.40,19.2,36.4,10.04
2021-11-19,61,10.0,3.1,4.20,25.4,51.1,8.94
2021-11-20,2,7.0,0.2,0.00,10.7,22.0,9.53
2021-11-21,51,11.9,3.8,0.40,13.5,27.4,8.72
2021-11-22,53,11.4,2.7,2.10,21.0,40.0,4.16
2021-11-23,3,5.6,-0.3,0.00,23.4,46.1,9.28
2021-11-24,1,6.4,-1.6,0.00,14.7,30.6,10.24
2021-11-25,3,10.8,-0.3,0.00,10.4,22.3,8.21
2021-11-26,53,7.0,1.6,4.20,24.3,49.3,4.37
2021-11-27,3,4.8,0.1,0.00,26.2,47.2,9.94
2021-11-28,73,5.7,-0.7,0.80,10.2,39.2,5.55
2021-11-29,3,5.2,-0.4,0.00,17.9,35.6,7.95
2021-11-30,3,4.1,-2.9,0.00,13.5,24.1,5.42
2021-12-01,3,8.3,-0.4,0.00,14.8,25.6,9.05
2021-12-02,53,13.2,4.4,1.00,21.7,43.6,6.65
2021-12-03,3,9.3,-0.3,0.00,22.9,45.0,8.96
2021-12-04,2,8.1,-0.5,0.00,10.8,21.2,7.23
2021-12-05,3,7.5,0.3,0.00,10.7,21.2,8.34
2021-12-06,53,15.9,6.7,3.70,28.0,55.4,6.48
2021-12-07,51,6.6,0.6,0.20,23.7,45.7,8.18
2021-12-08,51,4.6,0.6,0.20,10.5,20.5,3.66
2021-12-09,71,3.3,-2.2,0.20,17.0,32.0,7.06
2021-12-10,71,8.0,-0.3,0.40,9.0,19.4,5.01
2021-12-11,63,16.6,4.6,7.90,28.6,81.7,1.58
2021-12-12,51,10.6,3.0,0.20,28.5,62.3,9.10
2021-12-13,1,10.0,1.8,0.00,16.5,31.0,8.34
2021-12-14,1,10.4,1.2,0.00,15.3,27.0,8.79
2021-12-15,51,10.9,1.1,0.70,15.6,30.6,7.05
2021-12-16,3,15.1,9.6,0.00,17.9,33.8,7.36
2021-12-17,1,13.9,5.6,0.00,18.1,35.6,8.61
2021-12-18,53,7.6,4.2,2.30,9.7,18.4,0.91
2021-12-19,53,8.1,-1.1,2.10,22.1,43.9,6.28
2021-12-20,1,2.0,-4.4,0.00,14.6,30.6,8.93
2021-12-21,3,5.1,-2.7,0.00,14.6,30.6,7.26
2021-12-22,61,7.9,0.1,4.30,23.3,49.3,7.56
2021-12-23,73,2.8,-2.4,0.50,16.6,33.8,8.43
2021-12-24,73,5.7,-1.6,0.80,10.0,23.0,7.25
2021-12-25,61,8.1,1.3,9.30,10.7,23.0,1.11
2021-12-26,3,9.1,2.3,0.00,18.4,36.4,8.49
2021-12-27,53,2.8,-1.5,1.70,12.9,27.4,2.66
2021-12-28,51,8.0,1.8,0.50,12.1,26.6,4.87
2021-12-29,61,8.1,4.0,5.10,9.7,27.0,4.02
2021-12-30,61,8.6,5.2,2.40,6.6,15.8,2.84
2021-12-31,51,11.0,5.8,0.50,10.2,19.8,2.48
2022-01-01,63,12.1,8.6,16.40,8.6,19.8,1.35
2022-01-02,63,13.7,3.4,9.60,19.5,36.0,3.37
2022-01-03,73,2.8,-3.4,4.80,23.1,45.7,1.14
2022-01-04,1,0.7,-5.5,0.00,18.7,35.3,9.40
2022-01-05,51,7.1,-3.4,1.30,18.2,32.4,2.84
2022-01-06,3,3.8,-0.6,0.00,16.9,34.2,8.90
2022-01-07,75,1.0,-6.1,7.10,25.9,45.7,7.55
2022-01-08,0,-2.7,-10.7,0.00,19.5,31.0,10.28
2022-01-09,53,3.8,-9.7,5.00,20.2,38.9,2.34
2022-01-10,3,3.4,-4.3,0.00,19.7,37.1,10.09
2022-01-11,3,-4.2,-9.3,0.00,25.2,49.7,10.24
2022-01-12,1,4.4,-7.8,0.00,20.0,40.0,9.72
2022-01-13,3,7.2,-3.8,0.00,8.8,15.1,8.88
2022-01-14,3,5.9,-4.1,0.00,23.6,47.9,7.73
2022-01-15,3,-5.1,-11.0,0.00,24.8,43.9,10.03
2022-01-16,71,3.3,-11.4,3.00,25.6,46.8,6.64
2022-01-17,71,8.2,-0.6,29.10,38.0,71.3,4.15
2022-01-18,3,1.9,-3.8,0.00,25.6,48.6,8.87
2022-01-19,3,7.6,-4.9,0.00,20.6,38.2,9.07
2022-01-20,73,2.9,-7.0,7.80,18.9,36.4,4.21
2022-01-21,3,-4.4,-9.7,0.00,19.8,36.7,9.77
2022-01-22,2,-1.7,-10.5,0.00,15.7,29.5,11.48
2022-01-23,3,2.3,-6.4,0.00,11.8,23.0,10.21
2022-01-24,71,0.1,-4.1,0.50,11.4,23.4,7.03
2022-01-25,3,5.9,-3.3,0.00,16.0,32.0,10.12
2022-01-26,1,-2.7,-7.1,0.00,18.1,35.3,12.06
2022-01-27,2,-0.4,-9.0,0.00,13.8,27.7,11.88
2022-01-28,73,0.8,-3.7,2.10,16.5,30.2,5.22
2022-01-29,75,-1.8,-12.3,18.50,31.2,52.6,4.40
2022-01-30,1,-6.2,-15.0,0.00,23.3,40.0,13.10
2022-01-31,3,-3.8,-16.3,0.00,12.0,16.6,12.07
2022-02-01,2,-1.0,-13.5,0.00,12.4,18.4,12.40
2022-02-02,3,5.2,-4.2,0.00,7.9,14.0,7.75
2022-02-03,55,7.7,1.8,10.60,18.4,34.9,1.87
2022-02-04,61,11.0,-2.0,22.10,24.3,58.0,0.88
2022-02-05,3,-1.3,-6.6,0.00,24.7,46.8,13.42
2022-02-06,1,-0.6,-8.3,0.00,12.6,24.5,13.05
2022-02-07,51,2.3,-3.4,3.00,10.1,19.8,1.77
2022-02-08,53,7.6,-1.6,1.80,16.2,33.5,12.56
2022-02-09,0,6.8,-4.1,0.00,12.3,20.5,13.56
2022-02-10,51,10.9,-1.5,0.50,21.7,41.0,12.93
2022-02-11,1,12.4,-2.5,0.00,21.1,36.0,13.98
2022-02-12,3,13.2,4.6,0.00,21.6,41.0,12.58
2022-02-13,73,3.7,-2.2,4.00,15.6,25.6,3.35
2022-02-14,3,-2.9,-8.4,0.00,26.3,49.0,15.27
2022-02-15,1,-0.4,-8.7,0.00,11.7,24.1,15.40
2022-02-16,1,7.1,-5.7,0.00,18.7,34.9,13.32
2022-02-17,53,15.1,3.7,1.00,25.6,49.7,8.72
2022-02-18,61,14.4,-2.8,11.10,37.7,79.6,14.66
2022-02-19,51,4.2,-4.9,0.20,28.8,58.7,11.22
2022-02-20,1,1.8,-6.3,0.00,27.0,51.5,15.44
2022-02-21,0,10.7,-2.3,0.00,17.9,33.5,15.32
2022-02-22,63,13.8,0.6,11.40,32.0,56.9,5.64
2022-02-23,51,18.6,3.2,0.10,23.4,50.0,9.84
2022-02-24,71,2.3,-0.9,0.40,17.8,33.1,5.99
2022-02-25,73,6.0,-3.8,20.90,21.1,47.2,4.11
2022-02-26,3,2.5,-5.4,0.00,21.8,45.0,14.49
2022-02-27,1,7.3,-3.9,0.00,24.3,45.0,17.30
2022-02-28,1,1.7,-3.9,0.00,18.1,38.5,17.80
2022-03-01,51,7.1,-4.0,0.40,18.0,32.4,9.12
2022-03-02,51,9.8,-0.5,0.10,14.0,27.4,15.67
2022-03-03,55,5.8,-3.5,3.40,21.9,41.8,17.91
2022-03-04,0,3.0,-6.2,0.00,19.1,36.4,18.68
2022-03-05,3,6.4,-3.8,0.00,12.7,23.4,12.22
2022-03-06,61,19.0,3.4,3.80,23.7,59.4,8.09
2022-03-07,61,21.6,11.4,3.90,35.1,78.5,9.68
2022-03-08,2,11.2,2.5,0.00,30.6,56.2,18.77
2022-03-09,75,3.5,1.0,13.80,14.3,26.3,2.40
2022-03-10,3,9.1,-1.0,0.00,8.2,18.7,16.39
2022-03-11,1,11.2,0.7,0.00,15.4,28.4,19.04
2022-03-12,75,5.9,-4.9,15.30,35.0,65.5,2.82
2022-03-13,73,0.8,-6.4,1.20,31.1,72.7,19.30
2022-03-14,1,12.6,-4.4,0.00,16.6,30.2,19.62
2022-03-15,51,17.2,2.1,0.10,16.5,28.4,18.51
2022-03-16,1,16.8,2.8,0.00,14.1,27.4,19.84
2022-03-17,61,12.7,4.1,5.60,10.0,21.6,4.56
2022-03-18,3,20.2,8.3,0.00,12.2,19.1,16.90
2022-03-19,53,19.8,9.3,1.10,13.3,38.9,11.38
2022-03-20,3,13.3,7.1,0.00,23.0,44.3,11.49
2022-03-21,3,15.9,4.9,0.00,27.4,50.0,20.77
2022-03-22,2,13.4,4.4,0.00,19.5,37.1,20.97
2022-03-23,53,7.9,2.0,2.00,18.0,36.4,12.18
2022-03-24,63,9.7,4.2,15.40,22.1,52.6,2.92
2022-03-25,63,15.2,5.9,8.50,19.2,43.9,14.58
2022-03-26,55,10.7,5.1,3.30,17.3,40.3,14.37
2022-03-27,73,7.6,0.1,1.20,25.2,46.8,14.75
2022-03-28,3,0.3,-4.3,0.00,30.7,58.7,19.49
2022-03-29,3,3.5,-4.7,0.00,28.8,49.7,21.13
2022-03-30,3,7.0,-4.1,0.00,13.6,23.8,16.78
2022-03-31,63,18.7,4.0,13.20,26.8,74.2,10.82
2022-04-01,55,14.4,5.3,5.00,28.7,56.2,17.06
2022-04-02,3,11.2,1.7,0.00,21.3,40.3,23.95
2022-04-03,61,8.6,3.4,6.10,20.8,38.2,10.18
2022-04-04,3,11.8,2.2,0.00,20.3,38.5,19.88
2022-04-05,51,11.8,3.6,0.40,15.0,27.4,12.28
2022-04-06,61,10.2,6.7,16.60,22.5,43.2,4.62
